n,length,persona,seed,variant,winner,reason,days,nights,hull_left,scurvy_started,scurvy_cleared,attacks,rule_fallbacks,empty_ship_stalemate,identity_discards,relocation_rollbacks
6,normal,kaotik,1633390621009917223,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,normal,kaotik,18235554611969022711,A,hain,sunk,4,3,0,1,1,1,0,0,0,0
6,normal,kaotik,18235554611969022711,B,hain,sunk,4,3,0,1,1,1,0,0,0,0
6,normal,kaotik,4114164135709139577,A,hain,scurvy,5,4,2,1,0,1,0,0,0,0
6,normal,kaotik,4114164135709139577,B,hain,scurvy,5,4,2,1,0,1,0,0,0,0
6,normal,kaotik,17466352943761223176,A,crew,port,6,6,2,1,1,5,0,0,0,0
6,normal,kaotik,17466352943761223176,B,crew,port,6,6,2,1,1,5,0,0,0,0
6,normal,kaotik,13045617542636953363,A,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,normal,kaotik,13045617542636953363,B,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,normal,kaotik,14633075322305000715,A,crew,port,6,6,1,0,0,2,0,0,0,0
6,normal,kaotik,14633075322305000715,B,hain,sunk,5,4,0,0,0,1,0,0,0,0
6,normal,kaotik,4888513254127016960,A,crew,port,6,6,1,1,1,0,0,0,0,0
6,normal,kaotik,4888513254127016960,B,crew,port,6,6,1,1,1,0,0,0,0,0
6,normal,kaotik,5528229037157391735,A,hain,scurvy,7,6,1,1,0,2,0,0,0,0
6,normal,kaotik,5528229037157391735,B,hain,scurvy,6,5,1,1,0,0,0,0,0,0
6,normal,kaotik,3893181066628920445,A,crew,port,5,5,2,0,0,2,0,0,0,0
6,normal,kaotik,3893181066628920445,B,crew,port,5,5,2,0,0,2,0,0,0,0
6,normal,kaotik,2343468600702728036,A,crew,port,6,6,2,1,1,2,0,0,0,0
6,normal,kaotik,2343468600702728036,B,crew,port,6,6,2,1,1,2,0,0,0,0
6,normal,kaotik,13899005250705420970,A,hain,sunk,3,2,0,0,0,0,0,0,0,0
6,normal,kaotik,13899005250705420970,B,hain,sunk,3,2,0,0,0,0,0,0,0,0
6,normal,kaotik,2776821088792433895,A,hain,scurvy,5,4,1,1,0,3,0,0,0,0
6,normal,kaotik,2776821088792433895,B,hain,scurvy,5,4,1,1,0,3,0,0,0,0
6,normal,kaotik,7109517505668064065,A,crew,port,6,6,1,1,1,4,0,0,0,0
6,normal,kaotik,7109517505668064065,B,crew,port,6,6,1,1,1,4,0,0,0,0
6,normal,kaotik,9082584478799682129,A,hain,sunk,6,5,0,1,1,2,0,0,0,0
6,normal,kaotik,9082584478799682129,B,hain,sunk,6,5,0,1,1,2,0,0,0,0
6,normal,kaotik,17635057053613295208,A,hain,sunk,6,5,0,1,1,0,0,0,0,0
6,normal,kaotik,17635057053613295208,B,hain,sunk,6,5,0,1,1,0,0,0,0,0
6,normal,kaotik,13625022569355771491,A,crew,port,6,6,1,0,0,4,0,0,0,0
6,normal,kaotik,13625022569355771491,B,crew,port,6,6,1,0,0,4,0,0,0,0
6,normal,kaotik,7693237869317284288,A,hain,sunk,3,2,0,1,0,0,0,0,0,0
